trading_event,date,amf,but,bmp,smp,wmp
152,2015-11-17,3429.620755,2709.134367,1825.0,1851.303346,2147.560703
153,2015-01-12,3519.23921,3008.871595,1728.908629,1918.112305,2259.594648
154,2015-12-15,3721.116178,3136.294498,1563.973333,1890.972883,2304.398601000001
155,2016-05-01,3644.255026,3313.6229399999997,1586.296992,1890.097609,2209.712635000001
156,2016-01-19,3724.428795,3161.688491,1620.0,1834.883671,2188.269521
157,2016-02-02,3485.7060060000013,2905.4757019999997,1513.293173,1792.473684,1951.717905
158,2016-02-16,3526.624918,2834.434092,1495.948905,1761.856796,1889.712109
159,2016-01-03,3254.4784,2811.4345989999997,1452.4349439999999,1801.900378,1974.367911
160,2016-03-15,3014.422012,2733.214486,1544.854369,1730.736405,1970.601689
161,2016-05-04,3202.54902,2702.131566,1395.233645,1720.5504059999994,2012.528046
162,2016-04-19,3240.014331,2746.4758269999998,1459.896907,1726.83818,2156.468408
163,2016-03-05,3194.566752,2601.410127,1366.4298720000004,1676.357627,2176.255034
164,2016-05-17,3340.193153,2696.517857,1545.0,1658.087422,2251.578104
165,2016-01-06,3444.405328000001,2762.1542,1765.0,1867.143424,2205.412386
166,2016-06-15,3618.622654,2910.207222,1694.653179,1901.006305,2118.236991
167,2016-05-07,3621.0,2828.0,1552.0,1938.0,2062.0
168,2016-07-19,3628.0,2687.0,1565.0,1927.0,2079.0
169,2016-02-08,3797.0,2871.0,1661.0,1965.0,2265.0
170,2016-08-16,4148.0,3274.0,1983.0,2028.0,2695.0
171,2016-06-09,4769.0,3764.0,2070.0,2224.0,2793.0
172,2016-09-20,4998.0,3892.0,2276.0,2296.0,2782.0
173,2016-04-10,4954.0,3891.0,2408.0,2209.0,2681.0
174,2016-10-18,5007.0,3984.0,2583.0,2204.0,2760.0
175,2016-01-11,5146.0,4146.0,2248.0,2329.0,3317.0
176,2016-11-15,5348.0,4193.0,2623.0,2562.0,3423.0
177,2016-06-12,5500.0,4262.0,2408.0,2570.0,3593.0
178,2016-12-20,5367.0,4290.0,2874.0,2621.0,3568.0
179,2017-03-01,5352.0,4308.0,2670.0,2660.0,3294.0
180,2017-01-17,5528.0,4382.0,2783.0,2612.0,3283.0
181,2017-07-02,5765.0,4593.0,2254.0,2608.0,3314.0
182,2017-02-21,5693.0,4598.0,2090.0,2574.0,3189.0
183,2017-07-03,5653.0,4653.0,1846.0,2118.0,2782.0
184,2017-03-21,5799.0,4910.0,1846.0,1948.0,2855.0
185,2017-04-04,5936.0,4750.0,1588.0,1913.0,2924.0
186,2017-04-18,5930.0,4892.0,1720.0,2044.0,2998.0
187,2017-02-05,6185.0,4911.0,1859.0,1982.0,3233.0
188,2017-05-16,6631.0,5479.0,1980.0,1998.0,3312.0
189,2017-07-06,6569.0,5631.0,2092.0,2156.0,3143.0
190,2017-06-21,6885.0,5768.0,2092.0,2218.0,3022.0
191,2017-05-07,6596.0,5775.0,2264.0,2090.0,3111.0
192,2017-07-19,6577.0,6004.0,2264.0,2024.0,3114.0
193,2017-02-08,6289.0,5747.0,2198.0,1966.0,3155.0
194,2016-08-16,6199.0,5735.0,2198.0,1968.0,3143.0
195,2017-06-09,6402.0,5954.0,2026.0,1944.0,3100.0
196,2017-09-20,6794.0,6026.0,2026.0,1920.0,31122.0
197,2017-04-10,6504.0,5837.0,1804.0,1895.0,3037.0
